"census_tract","Surge_threshold","Rain_threshold","alpha_d","alpha_a","alpha_p","alpha_r","mew_a","mew_p","U_rate","POT_S_max","POT_R_max"
"x_init24",34025812100,2.17028271254776,0.127203845500453,6.06319149358595,3.80252804843206,3.57459445111262,0.0690477600714678,0.1013595325957,0.236340128882334,0.0656143794933979,0.001,0.149891580091549
"x_init25",34039030500,0.001,0.108440927753669,25,2.8266216369082,0.674801405707555,0.00590811939333282,0.170151362391643,0.00936325439136724,0.01,3.16912630990394,0.129788563421165
"x_init26",34039035400,2.97337590406398,0.15,9.76584775669167,1.95311797741813,6.69332366836727,0.0923552412194463,0.0391547971605683,0.0626283003641495,0.0125525594572803,0.355344475127038,0.15
"x_init27",36001000100,1.91153160213237,0.15,19.674231444913,5.24942222198646,5.73438259794919,0.0577856171810993,0.0762035173796167,0.00237909119885901,0.277637345813085,0.001,0.149777036857978
"x_init28",36001013100,2.93826952338257,0.106907580773286,19.2096990850229,4.34982989729129,8.58151872115776,0.333106225168719,0.00994747426856209,0.23121661428572,1.51018627634447,1.8115281386915,0.106809081927333
"x_init29",36001013400,2.18803659180947,0.127181908715253,16.3879975511292,18.7066263818418,4.35018942321257,0.822385417665934,0.0516714657433518,1.84438588201959,1.83842779386155,3.11741741931363,0.0193918649664671
"x_init30",36001013602,1.98473508194031,0.0685687647514912,14.5136733708728,0.001,9.47184148478212,0.836352076033863,0.0618380300530757,1.68141199231987,2.70691877178147,1.60514330757403,0.0839267922747634
"x_init31",36001014401,2.40749386525426,0.0925303931210937,18.0498059142766,6.63256385426681,5.65338539221852,0.862315808640038,0.0605879933445244,0.603505379940568,2.39740752590894,1.69750901679982,0.110971099772919
"x_init32",36021000500,1.75447186840437,0.15,15.6304938364291,0.620786466195899,2.29815006324744,0.502890026375899,0.0921111275270509,0.001,0.392469702428828,3.35832614338502,0.15
"x_init33",36021000600,1.13357226183528,0.143740380933511,14.7935550610286,25,0.365987051365331,0.001,0.0873729109601223,0.0414861632938786,0.0266609778931468,1.52081301663468,0.12858549350891
"x_init34",36021001100,2.2117015369288,0.103254951335946,15.9137935359493,17.5799571386586,6.61147465566448,0.47032986793739,0.128993069231049,0.898172030726814,1.18550958750624,0.122947575315713,0.0858831048392328
"x_init35",36021001900,3.12376435977635,0.145542160404169,11.2728533942129,15.3657492333051,9.56820172066202,0.375451744501168,0.0988012930476549,0.941439287003534,2.82026205408627,3.27876928772588,0.112255005283506
"x_init36",36021002000,2.66358062041222,0.001,25,0.360245296915703,0.001,0.0256268732113452,0.146713098424714,0.0288160403080889,0.0862153528656656,2.5336399709091,0.128117754682372
"x_init37",36027060202,1.73190507733572,0.0847953967687564,11.1154171792438,25,9.96668708347424,0.001,0.0620497602530903,0.001,0.774149767795998,0.0872335301871261,0.0131961510494598
"x_init38",36027070201,1.55162240309988,0.0356244676899204,18.7710856292349,1.50803549864195,10,0.0233034218959552,0.255125805242116,0.001,0.403345764447816,0.192268620231935,0.15
"x_init39",36027140500,2.11914533463366,0.0584693097279673,8.95525187517652,3.0816572585694,10,0.206274026802645,0.161806493625368,1.46001289561254,1.86911098776035,2.73539206750679,0.0200966244483928
"x_init40",36027140602,3.34275746701451,0.121421830952737,21.8362817327183,16.6886406119652,8.59324326337641,0.0293841970070647,0.0874753641232405,0.937748940493766,2.56991112152106,0.857137914449425,0.0934172947266143
"x_init41",36027140801,1.41815597232251,0.15,24.5918064854895,0.00237847458605126,0.00284748068004517,0.402895959769191,0.131307406779232,0.0674192889753282,0.0169299811461899,0.001,0.149970674642652
"x_init42",36027190301,1.81541007065776,0.0905212007933853,8.68328172775021,9.53571925646975,8.29648187237464,0.25063752133663,0.0922274010870502,1.05994187236983,2.98851520117008,2.31755920425077,0.079395756267376
"x_init43",36027210201,3.31787419857956,0.15,18.048060829471,8.58413893547769,6.92967645093754,0.238485154857536,0.108356496075259,0.00138379384302338,0.286916445329771,2.28911710849072,0.15
"x_init44",36039080100,2.26863665423788,0.15,14.6442693973263,25,6.62480579117153,0.001,0.0889688903379315,0.0143028097794063,0.467674554320343,0.180801953491055,0.15
"x_init45",36039080600,1.64475458504822,0.0672004393918473,8.55157629074583,0.001,0.274708492659346,0.0702595980485421,0.112703776331073,0.845816984842967,1.98737288505123,1.80184958571202,0.0589169352866974
"x_init46",36039080700,1.76166915472615,0.149999899895621,13.0336886050171,2.06539831505054,2.69166604243486,0.183386774905875,0.0751209529188673,0.00719136336440844,0.54383819254635,1.34832884267581,0.15
"x_init47",36039080900,1.64264558514612,0.15,17.2061333810297,3.1321238853103,0.001,0.0947123485156136,0.0965338290845894,0.0635130062740434,0.209720266521723,3.36866262171749,0.149962046076451
"x_init48",36047004400,2.942244885931,0.112146038649215,10.9464465103349,21.7907227540584,4.39662921131888,0.668130019458592,0.0585702491014849,0.731797516559291,1.73101361446354,0.489748675696115,0.00368002754660302
"x_init49",36047004600,1.85940401601979,0.0545943070535321,25,0.001,1.84018026080754,0.942533345149366,0.0756147436222499,0.514172411692296,0.779179351737968,1.01045379556568,0.0614267789203577
"x_init50",36047016800,1.70397509618594,0.113332326306685,16.6165231735393,16.4577703341035,4.4471667875785,0.410497818842934,0.0633225671585304,0.305083216169547,2.81216796200878,2.74358364447825,0.0579504833338587
"x_init51",36047033600,2.08962722384848,0.15,6.77113879382433,6.15634824080233,1.25861520429398,0.357704688985222,0.0259993044909602,0.47775852048451,0.0152367146040035,1.24412782046089,0.15
"x_init52",36071010102,1.70611157824693,0.0886714342896495,13.4066749596166,9.92088795506193,1.38929604181278,0.0150556892291408,0.0781654979452291,0.00181539388300634,0.514029494097051,3.5,0.135656139816447
"x_init53",36071010200,2.68857368936127,0.0661028648514717,24.8578212303688,12.2885232300625,0.853322896349262,0.607258740253378,0.0986724466514465,0.965309503500419,1.75945447858018,1.21741851985405,0.0807074178468211
"x_init54",36071012700,1.10817585040061,0.0802705349108486,25,0.202785264242571,0.001,0.112069222212804,0.185197818788105,0.0280719617652675,0.01,3.49879777129714,0.133133160598088
"x_init55",36071012800,2.71785406468585,0.0611476512436226,9.75555794988333,4.50144428397583,7.47355848233699,0.927680917802038,0.0780135082270439,0.797180976987634,2.55648114431984,1.13873752087856,0.133880928441003
"x_init56",36071012900,1.62866149022962,0.0793622547034664,15.3503210050934,25,0.738792193673623,0.0371840980594574,0.0947119578531502,0.030777195972827,0.532312972605483,1.6635288212059,0.0474318025249447
"x_init57",36071013100,1.69089287180563,0.0765155850124557,12.1856794543074,25,1.11407710516776,0.001,0.0680899876340426,0.001,0.608304662621848,0.271034919248119,0.0724377532585347
"x_init58",36071013700,1.76301144731232,0.14207160467698,25,0.129568847700705,2.22524158476571,0.195049652513637,0.147106819029383,2,0.0130469314771148,3.5,0.001
"x_init59",36071013800,2.74872960619965,0.130815833591433,9.38170631802546,22.6041129775213,8.87389892793557,0.79077421569923,0.0883298204638952,1.48523940802805,2.32904693319336,3.37892780325262,0.0957998859740285
"x_init60",36079010600,1.90646229213224,0.15,13.342191041562,14.639425745147,5.91676287667898,0.246745494726108,0.0557845857575688,0.0079909616029638,0.475558073053358,0.00619565038684874,0.15
"x_init61",36079010700,1.84795884765389,0.15,12.7506276095015,0.464772319411415,5.62525267180025,0.240106173106876,0.0643333710510753,0.01479227976424,0.324020506988255,1.26327572855652,0.15
"x_init62",36081091601,2.10657130944866,0.134613909756811,10.3269974270932,24.5091439943183,0.148699774883625,0.370449208808248,0.0881661487746557,0.0747825860257375,0.530978651820718,0.0467894752672543,0.149979204724057
"x_init63",36083040800,0.441698092970029,0.120178894419805,9.19747830088298,25,0.466872164148544,0.001,0.0393997372324803,0.0230779101901556,0.358919737678991,3.5,0.137472428549783
"x_init64",36083051600,3.48744258374295,0.15,23.1504507461878,25,7.58353972935203,0.00634570814816222,0.106195391371365,0.001,0.01,0.713415188030647,0.15
"x_init65",36083052301,2.0357532643041,0.0654114301931624,11.095921413181,9.88339130700854,6.62949472410843,0.810253310666856,0.130965032428612,1.5816425352978,2.68163032639297,1.84762532418425,0.0720070131025569
"x_init66",36083052404,3.39174711214157,0.0675743597455191,21.3138368738036,8.02626184148886,0.12692835698064,1,0.122655226987533,0.13848710392199,0.338925406545968,2.58520126376149,0.001
