"census_tract","W","L","D","R","U","A","P"
"102",34003055100,1.479,0,0,0,1.88216631019329,0.0732525635646617,0
"103",34003055100,1.415,0,0,0,1.88216631019329,0.0685081673788274,0
"104",34003055100,1.463,0,0,0,1.88216631019329,0.0640710545708409,0
"105",34003055100,1.541,0,0,0,1.88216631019329,0.0599213231193273,0
"106",34003055100,1.552,0,0,0,1.88216631019329,0.0560403600100085,0
"107",34003055100,1.469,0,0,0,1.88216631019329,0.0524107577497468,0
"108",34003055100,1.334,0,0,0,1.88216631019329,0.0490162362877766,0
"109",34003055100,1.358,0,0,0,1.88216631019329,0.0458415699939151,0
"110",34003055100,1.409,0,0,0,1.88216631019329,0.042872519366222,0
"111",34003055100,1.536,0,0,0,1.88216631019329,0.0400957671617935,0
"112",34003055100,1.365,0,0,0,1.88216631019329,0.0374988586642146,0
"113",34003055100,1.489,0,0,0.999999999999726,1.88216631019329,0.0350701458197475,0
